1,6/12/2014 21:00,Brazil,Croatia,Sao Paulo,Group A
2,6/13/2014 17:00,Mexico,Cameroon,Natal,Group A
3,6/13/2014 20:00,Spain,Netherlands,Salvador,Group B
4,6/13/2014 23:00,Chile,Australia,Curitiba,Group B
5,6/14/2014 17:00,Colombia,Greece,Belo Horizonte,Group C
6,6/15/2014 2:00,Cote d'Ivoire,Japan,Recife,Group C
7,6/14/2014 20:00,Uruguay,Costa Rica,Fortaleza,Group D
8,6/14/2014 23:00,England,Italy,Manaus,Group D
9,6/15/2014 17:00,Switzerland,Ecuador,Brasilia,Group E
10,6/15/2014 20:00,France,Honduras,Porto Alegre,Group E
11,6/15/2014 23:00,Argentina,Bosnia-Herzegovina,Rio De Janeiro,Group F
12,6/16/2014 17:00,Germany,Portugal,Salvador,Group F
13,6/16/2014 20:00,Iran,Nigeria,Curitiba,Group G
14,6/16/2014 23:00,Ghana,USA,Natal,Group G
15,6/17/2014 17:00,Belgium,Algeria,Belo Horizonte,Group H
16,6/17/2014 20:00,Brazil,Mexico,Fortaleza,Group A
17,6/17/2014 23:00,Russia,Korea Republic,Cuiaba,Group H
18,6/18/2014 17:00,Australia,Netherlands,Porto Alegre,Group B
19,6/18/2014 23:00,Cameroon,Croatia,Manaus,Group A
20,6/18/2014 20:00,Spain,Chile,Rio De Janeiro,Group B
21,6/19/2014 17:00,Colombia,Cote d'Ivoire,Brasilia,Group C
22,6/19/2014 20:00,Uruguay,England,Sao Paulo,Group D
23,6/19/2014 23:00,Japan,Greece,Natal,Group C
24,6/20/2014 17:00,Italy,Costa Rica,Recife,Group D
25,6/20/2014 20:00,Switzerland,France,Salvador,Group E
26,6/20/2014 23:00,Honduras,Ecuador,Curitiba,Group E
27,6/21/2014 17:00,Argentina,Iran,Belo Horizonte,Group F
28,6/21/2014 20:00,Germany,Ghana,Fortaleza,Group G
29,6/21/2014 23:00,Nigeria,Bosnia-Herzegovina,Cuiaba,Group F
30,6/22/2014 20:00,Korea Republic,Algeria,Porto Alegre,Group H
31,6/22/2014 23:00,USA,Portugal,Manaus,Group G
32,6/22/2014 17:00,Belgium,Russia,Rio De Janeiro,Group H
33,6/23/2014 17:00,Australia,Spain,Curitiba,Group B
34,6/23/2014 17:00,Netherlands,Chile,Sao Paulo,Group B
35,6/23/2014 21:00,Cameroon,Brazil,Brasilia,Group A
36,6/23/2014 21:00,Croatia,Mexico,Recife,Group A
37,6/24/2014 17:00,Italy,Uruguay,Natal,Group D
38,6/24/2014 17:00,Costa Rica,England,Belo Horizonte,Group D
39,6/24/2014 21:00,Japan,Colombia,Cuiaba,Group C
40,6/24/2014 21:00,Greece,Cote d'Ivoire,Fortaleza,Group C
41,6/25/2014 17:00,Nigeria,Argentina,Porto Alegre,Group F
42,6/25/2014 17:00,Bosnia-Herzegovina,Iran,Salvador,Group F
43,6/25/2014 21:00,Honduras,Switzerland,Manaus,Group E
44,6/25/2014 21:00,Ecuador,France,Rio De Janeiro,Group E
45,6/26/2014 17:00,USA,Germany,Recife,Group G
46,6/26/2014 17:00,Portugal,Ghana,Brasilia,Group G
47,6/26/2014 21:00,Korea Republic,Belgium,Sao Paulo,Group H
48,6/26/2014 21:00,Algeria,Russia,Curitiba,Group H
